reason_for_recall,classification
"Northern Fish Products is recalling hot smoked salmon, black cod, steelhead, and trout, with the exception of hot jerky salmon and jerky salmon due to undeclared soy.",major
The firm reports a customer found a foreign object in the product.,moderate
The firm was notified by their supplier that ingredients used in their products were possibly contaminated with Listeria monocytogenes and Salmonella.,severe
"The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.",major
Listeria monocytogenes found on food contact surfaces and non-food contact surfaces.,severe
Five patients who were treated in a single hospital in Kansas were infected with one of four rare strains of Listeria monocytogenes.,severe
Products not manufactured under GMP's,major
Undeclared allergen; Peanut protein.,moderate
GM Manufacturing is recalling dietary supplements due to significant violations of the cGMP regulations for dietary supplements.,major
"There is a possibility that a part of the nozzle cap of the bottle can become dislodged through abuse (i.e. excessive chewing) then possibly ingested, and posing a potential health/safety hazard.  The cap in question is no longer used by ABC and was last produced in September of 2011.  Firm does not anticipate finding any impacted product in the market.",moderate
Product may be contaminated with Listeria monocytogenes.,severe
Random Sampling by the Michigan Department of Agriculture had a positive result for Salmonella in one bag of spinach.,major
"T & S Oyster Farms brand refrigerated vacuum packed hot smoked oysters, Garlic Pepper flavor, is recalled due to the potential contamination with Clostridium botulinum.",major
"Whole Foods Market, Inc. has initiated a recall of various bakery products  that was made in there Mid-Atlantic stores and sold between May 25th and July 13th which failed to declare soy flour (soy) as an ingredient.",major
"Cran-Almond Biscotti (cranberry & toasted almond) - individually wrapped  is recalled due to undeclared wheat, soy, and milk.",moderate
potential to be contaminated with Listeria monocytogenes,severe
Firm received notification of a positive L. mono test result from a random sample taken from of one our customer's retail locations by the Massachusetts Department of Public Health.,major
Possible contamination with salmonella,major
"Contamination with Listeria monocytogenes, an organism which can cause serious and sometimes fatal infections in young children, frail or elderly people, and others with weakened immune systems. Although healthy individuals may suffer only short-term symptoms such as high fever, severe headache, stiffness, nausea, abdominal pain and diarrhea, Listeria infection can cause miscarriages and stillbirt",severe
"Sunland, Inc. is conducting a voluntary limited recall of its Almond, Peanut, and Cashew Butter products and Tahini and Roasted Blanched Peanut Products, manufactured between May 1, 2010 and September 24, 2012, because these products may be contaminated with Salmonella.  On October 12, 2012 the firm extended its recall to include Raw and Roasted Shelled and In-Shell Peanuts.",major
"The product is being recalled because it was manufactured using pistachios recalled by Setton Pistachios of Terra Bella, CA because it has the potential to be contaminated with Salmonella.",major
Potential Listeria monocytogenes contamination.,severe
potentially been contaminated with Listeria monocytogenes,severe
Various sandwiches have the potential to be contaminated with Listeria monocytogenes.,severe
Product may contain undeclared milk.,moderate
Undeclared walnuts in bakery cakes utilized in ice cream cakes,moderate
Possible contamination with Salmonella,major
3 Bean Munchies sprouts are recalled due to a potential contamination with Listeria monocytogenes.,major
Potential Listeria monocytogenes contamination.,severe
Shipping container from CA to HI was not held at proper temperature which could cause food items to be contaminated with spoilage organisms or pathogens,severe
Products not manufactured under GMP's,major
Contaminated with non pathogenic E. Coli,severe
Product contains Soy Lecithin however packaging only states Lecithin.,moderate
Shipping container from CA to HI was not held at proper temperature which could cause food items to be contaminated with spoilage organisms or pathogens,severe
Product has potential to be contaminated with Listeria monocytogenes,severe
Product contains undeclared milk,moderate
Products recalled due to premature spoilage (swelled containers & foul odor).,major
"Fresh Express initiates a recall of expired foodservice salad products produced at its Streamwood, IL facility after a test yielded a positive result for the Cyclospora organism.",major
Bubble tea powders contain undeclared allergens.,moderate
Granola products may contain pieces of foreign material.,moderate
Product labeling does not contain a listing of ingredients.  Undeclared Soybean oil.,moderate
"FDA sampling of senna leaves powder, an ingredient used to manufacture the Nopalina Flax Seed Fiber (powder) and Nopalina Flax Seed Fiber (capsules), tested positive for three types of Salmonella including Salmonella Gaminara, Salmonella Kentucky, and Salmonella Oranienburg.",major
Potential hazard of Clostridium botulinum toxin formation as a result of temperature abuse during storage.,severe
"Garden-Fresh Foods is recalling various cut vegetables,  ready-to-eat salads, slaw, spread and dip products sold under various brands and code dates manufactured prior to November 06, 2013  because they may be contaminated with Listeria monocytogenes.",severe
Products may be contaminated with  Listeria monocytogenes.,severe
"The dietary supplements have the potential to be contaminated with undeclared steroids, pharmaceutical ingredients and/or chemical additives due to lack of GMPs.",major
"Mooncake products, manufactured and distributed by Magic Gourmet Trading, Inc. of Milbrae, CA did not have adequate product labeling, including ingredient statements and allergen declaration. This product has undeclared wheat, walnuts, pine nuts.",moderate
Recall initiated as a precautionary measure due to potential risk of product contamination with Burkholderia cepacia.,major
The firm voluntarily recalled a total of 11 products: this product was recalled due to undeclared FD&C yellow #6.,major
"Pursuant to a consent decree that prohibits the company and its owners for marketing dietary supplements until they, among other things, recall and destroy the dietary supplements that have been manufatured or distributed since April 2, 2014, hire a cGMP expert and receive written permission from FDA to resume operations.",major
Product fails to declare allergens FD& C Yellow #5 and sulfites,moderate
Undeclared egg and milk,moderate
Desiccated coconut may be contaminated with Salmonella based on third party laboratory testing.,severe
